Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Rata-rata,Pendidikan Agama (Next Sem),Pendidikan Pancasila (Next Sem),Bahasa Inggris (Next Sem),Bahasa Mandarin (Next Sem),Matematika (Umum) (Next Sem),Biologi (Next Sem),Fisika (Next Sem),Kimia (Next Sem),Geografi (Next Sem),Sejarah (Next Sem),Sosiologi (Next Sem),Ekonomi (Next Sem),"Pendidikan Jasmani, Olahraga, dan Kesehatan (Next Sem)",Informatika (Next Sem),Seni Musik (Next Sem),Bahasa Indonesia (Next Sem),Rata-rata (Next Sem),Kategori Performa,Kategori Performa (Next Sem),Jumlah Ketidakhadiran,Persentase Tugas,performance_trend
59,47,57,58,62,63,55,57,54,52,59,51,56,53,60,67,56.85,60,48,60,55,70,62,61,64,64,62,61,57,57,56,61,59,59.81,Low,Low,7,42,Stable Performance
51,48,57,58,59,55,57,60,63,48,56,59,53,66,54,57,56.34,53,58,57,55,59,60,62,57,57,48,54,59,51,69,57,63,57.44,Low,Low,6,48,Stable Performance
64,58,52,59,66,60,57,66,60,59,62,65,73,65,67,59,61.96,68,59,52,62,67,60,62,67,60,60,60,71,71,70,69,60,63.62,Low,Low,9,54,Stable Performance
45,51,51,45,50,52,52,53,52,48,48,44,59,51,49,46,49.77,45,50,56,46,46,50,52,47,55,52,43,45,64,53,54,50,50.5,Low,Low,9,44,Stable Performance
66,46,49,53,54,56,60,54,46,50,53,62,44,57,52,56,53.75,71,54,55,67,68,71,76,61,61,62,67,70,50,68,61,65,64.19,Low,Low,6,37,Stable Performance
57,53,61,60,62,57,54,49,61,59,52,54,55,50,53,52,55.66,57,49,61,58,63,57,55,51,58,62,50,57,57,48,58,49,55.62,Low,Low,10,26,Stable Performance
53,51,47,65,61,51,56,57,61,51,60,52,48,59,61,68,56.37,55,58,55,69,68,58,62,62,67,54,59,57,54,69,64,71,61.38,Low,Low,10,53,Stable Performance
56,65,60,65,54,55,58,62,58,65,67,65,70,64,55,68,61.66,63,72,65,69,61,57,66,65,62,70,73,72,73,67,56,69,66.25,Low,Low,10,32,Stable Performance
52,60,63,58,48,51,62,55,56,59,59,57,54,54,60,58,56.64,54,57,62,53,47,46,62,58,54,65,57,57,56,55,60,56,56.19,Low,Low,11,43,Stable Performance
52,58,52,49,49,48,52,59,49,54,50,52,45,52,52,56,51.74,54,58,51,53,46,48,53,59,51,54,41,48,43,54,49,60,51.38,Low,Low,9,27,Stable Performance
68,61,73,68,68,67,65,68,70,59,65,66,69,73,63,65,66.8,72,65,72,74,76,66,69,69,73,58,73,65,71,75,70,73,70.06,Low,Mid,5,75,Significant Increase Performance
56,55,57,63,54,61,50,56,57,67,57,48,49,59,62,61,57.03,60,56,55,64,56,62,44,64,49,71,59,52,48,58,58,57,57.06,Low,Low,9,40,Stable Performance
61,66,58,65,52,56,51,59,60,61,61,56,59,53,67,59,58.98,65,65,60,63,50,58,52,57,63,64,56,54,64,51,62,64,59.25,Low,Low,10,28,Stable Performance
50,61,47,47,47,53,55,57,66,42,56,50,50,50,48,61,52.46,55,66,51,53,50,56,60,62,74,50,62,54,48,55,54,68,57.38,Low,Low,9,46,Stable Performance
61,57,64,50,51,46,54,58,58,58,50,61,58,61,48,59,55.93,59,58,62,52,54,49,57,65,59,60,54,59,56,58,47,61,56.88,Low,Low,10,42,Stable Performance
55,59,63,61,56,61,53,66,60,66,58,58,57,65,57,64,59.84,62,68,72,69,62,59,64,67,61,72,60,55,66,61,62,67,64.19,Low,Low,8,44,Stable Performance
52,44,51,48,54,48,59,54,53,58,59,54,50,45,51,51,52.1,52,47,52,50,58,48,65,57,52,62,64,59,67,46,56,59,55.88,Low,Low,8,30,Stable Performance
62,60,65,59,62,68,64,62,59,59,58,59,66,61,55,71,61.74,63,59,62,60,69,67,63,62,61,60,61,65,66,66,53,73,63.12,Low,Low,10,35,Stable Performance
59,50,55,58,66,51,62,64,54,56,52,56,57,60,62,53,57.11,61,49,58,58,65,50,60,64,53,57,51,60,61,59,61,53,57.5,Low,Low,6,54,Stable Performance
49,58,60,60,57,59,66,60,57,56,58,67,58,58,56,64,58.93,46,60,63,61,55,57,64,65,55,55,58,65,57,50,52,67,58.12,Low,Low,11,25,Stable Performance
67,59,57,57,45,61,58,59,53,55,55,62,55,67,59,51,57.56,77,64,73,54,55,72,65,65,58,58,62,67,57,69,59,50,62.81,Low,Low,9,29,Stable Performance
69,66,58,77,73,72,70,62,67,73,64,57,68,69,70,73,67.98,80,68,58,76,72,79,82,66,82,77,67,64,72,78,73,83,73.56,Low,Mid,7,61,Significant Increase Performance
63,61,66,52,62,63,54,52,56,57,64,57,56,57,66,60,59.11,63,62,69,50,61,66,56,62,56,64,65,62,63,57,76,65,62.31,Low,Low,11,31,Stable Performance
54,54,61,51,61,56,54,67,49,53,49,59,63,63,61,54,56.84,52,55,58,49,56,54,54,69,50,58,52,61,61,62,57,57,56.56,Low,Low,7,49,Stable Performance
62,56,74,66,62,71,59,66,63,67,64,57,64,69,64,68,64.6,58,57,80,67,65,75,58,68,66,67,58,59,62,69,64,67,65.0,Low,Low,9,43,Stable Performance
49,54,51,58,54,57,59,57,55,49,54,51,52,52,49,44,52.84,57,73,59,68,67,69,82,79,60,58,66,65,62,60,60,48,64.56,Low,Low,10,25,Stable Performance
58,62,54,61,71,66,69,63,67,57,58,47,67,69,58,60,61.71,59,62,56,66,69,67,68,59,65,57,59,51,70,69,55,63,62.19,Low,Low,9,46,Stable Performance
46,52,56,41,52,49,51,52,49,50,49,55,52,51,44,48,49.94,49,52,54,45,46,46,56,52,46,48,53,53,52,48,42,41,48.94,Low,Low,11,41,Stable Performance
58,54,57,62,59,54,51,41,53,52,55,53,52,44,49,56,52.92,71,74,76,75,66,68,61,51,58,60,65,65,58,56,60,73,64.81,Low,Low,6,53,Stable Performance
70,60,63,66,57,63,57,65,62,62,57,65,71,56,59,62,62.21,70,65,64,65,54,67,54,63,62,64,56,63,67,54,61,59,61.75,Low,Low,8,40,Stable Performance
68,61,50,70,67,55,61,72,71,68,63,64,63,69,59,60,63.8,70,63,51,77,65,62,69,73,70,67,69,70,67,79,60,65,67.31,Low,Low,9,50,Stable Performance
66,61,68,57,61,56,61,53,58,54,64,64,52,68,73,61,61.13,67,55,71,56,65,55,64,56,58,53,64,65,58,67,74,57,61.56,Low,Low,6,48,Stable Performance
56,74,53,60,60,66,61,57,55,58,54,60,57,52,66,57,59.02,55,71,53,57,64,65,65,62,57,60,52,57,60,53,72,58,60.06,Low,Low,9,32,Stable Performance
52,58,59,50,60,53,67,61,56,55,58,62,58,57,59,55,57.55,53,60,59,49,59,54,65,68,58,51,55,60,65,54,62,55,57.94,Low,Low,9,53,Stable Performance
51,42,57,54,49,62,53,47,57,55,55,50,55,51,55,43,52.32,51,42,59,52,47,61,51,51,62,57,56,53,55,53,49,44,52.69,Low,Low,11,33,Stable Performance
54,65,53,53,54,50,45,55,57,56,56,57,62,55,54,55,55.08,53,76,59,58,54,52,44,66,66,60,59,69,60,54,59,61,59.38,Low,Low,11,54,Stable Performance
61,65,55,58,59,53,58,50,49,60,56,59,58,53,57,52,56.29,60,67,54,56,59,59,55,52,46,63,59,59,54,51,58,54,56.62,Low,Low,7,27,Stable Performance
72,59,64,60,68,64,63,70,65,68,60,58,66,64,68,65,64.62,72,54,65,61,69,66,62,72,66,68,55,60,66,66,67,68,64.81,Low,Low,10,33,Stable Performance
63,54,71,61,65,58,63,55,64,60,62,65,56,58,64,72,61.92,70,62,74,62,76,61,72,58,60,64,66,71,59,63,72,83,67.06,Low,Low,9,47,Stable Performance
50,54,51,61,42,52,43,39,53,52,50,51,67,50,54,48,50.95,47,51,50,62,38,51,42,41,52,52,50,50,68,49,53,47,50.19,Low,Low,9,50,Stable Performance
63,60,60,71,68,62,50,60,75,60,67,69,63,57,49,65,62.48,62,63,62,79,63,60,47,60,78,55,68,69,63,56,46,74,62.81,Low,Low,11,47,Stable Performance
54,59,52,57,58,59,53,64,55,50,58,58,59,65,57,57,57.15,55,60,48,57,58,58,53,63,56,49,63,54,51,60,52,56,55.81,Low,Low,7,52,Stable Performance
51,61,58,55,47,64,50,54,58,51,49,46,60,54,71,52,55.01,53,57,58,54,53,66,44,55,56,53,54,47,57,48,71,54,55.0,Low,Low,9,38,Stable Performance
58,60,64,61,66,58,56,54,52,60,62,60,69,69,61,54,60.37,54,68,72,68,71,68,68,57,60,67,73,64,68,72,68,58,66.0,Low,Low,9,51,Stable Performance
62,62,62,62,62,63,62,66,67,61,72,60,57,67,61,67,63.29,65,62,64,64,61,61,63,66,63,57,75,59,59,64,58,67,63.0,Low,Low,6,25,Stable Performance
53,72,68,57,57,73,61,60,53,63,64,68,58,57,67,70,62.53,56,71,69,55,58,77,65,61,51,61,64,73,57,58,73,68,63.56,Low,Low,6,32,Stable Performance
48,61,56,61,55,43,55,61,51,54,55,41,64,51,58,55,54.49,44,57,58,58,58,40,52,61,49,50,54,46,63,51,58,56,53.44,Low,Low,6,40,Stable Performance
65,60,57,54,62,49,62,53,65,59,62,59,50,54,62,59,58.26,73,76,63,73,77,63,71,65,74,80,75,69,56,71,75,70,70.69,Low,Mid,6,62,Significant Increase Performance
68,64,57,58,62,50,70,64,68,54,68,73,55,66,62,54,61.89,64,67,59,56,60,48,76,66,66,54,64,73,56,63,59,57,61.75,Low,Low,11,35,Stable Performance
67,69,62,71,57,57,66,65,61,69,68,69,64,68,63,75,65.65,72,69,66,75,56,61,72,75,73,73,74,70,70,76,64,73,69.94,Low,Low,9,35,Stable Performance
54,68,58,51,64,58,62,64,59,55,62,58,61,47,60,54,58.41,69,81,70,54,80,70,70,69,72,71,67,74,74,46,70,64,68.81,Low,Low,6,47,Stable Performance
67,62,60,62,54,67,69,61,67,56,55,59,61,57,62,61,61.31,72,63,58,63,53,62,68,58,67,54,52,62,57,57,61,57,60.25,Low,Low,9,39,Stable Performance
49,57,59,55,60,48,57,49,49,51,50,52,53,59,53,47,52.99,48,60,57,54,63,55,56,45,49,52,50,50,53,58,50,46,52.88,Low,Low,11,50,Stable Performance
60,50,54,56,55,59,56,50,65,55,53,59,55,56,66,53,56.41,69,60,54,62,65,71,58,59,73,52,62,59,63,65,64,60,62.25,Low,Low,8,25,Stable Performance
62,65,69,57,54,61,56,62,67,60,57,64,68,56,68,68,62.13,65,62,69,62,52,65,54,62,60,62,61,66,69,55,69,71,62.75,Low,Low,6,33,Stable Performance
72,73,78,65,67,65,67,74,60,62,74,72,65,71,68,74,69.21,76,82,80,67,66,72,69,74,61,74,77,84,69,82,75,80,74.25,Low,Mid,6,71,Significant Increase Performance
60,65,73,63,60,63,58,72,61,58,55,65,64,57,63,52,61.75,58,68,73,66,60,66,58,75,66,57,59,63,60,56,64,45,62.12,Low,Low,11,35,Stable Performance
66,67,74,61,59,61,58,72,73,67,71,66,65,63,63,57,65.12,61,68,74,58,58,66,62,78,75,66,74,69,61,63,59,56,65.5,Low,Low,7,46,Stable Performance
63,62,66,62,61,57,62,65,56,62,63,58,59,63,56,64,61.23,67,64,68,69,71,62,67,69,61,77,76,61,61,70,62,66,66.94,Low,Low,11,48,Stable Performance
52,62,68,52,59,53,62,50,59,52,56,52,61,53,60,55,56.71,68,80,82,65,71,64,72,57,66,65,69,59,69,60,67,63,67.31,Low,Low,7,36,Stable Performance
61,63,58,63,69,58,68,69,58,55,63,59,71,62,58,56,61.91,67,62,53,57,70,57,67,71,55,54,66,57,75,61,57,59,61.75,Low,Low,9,51,Stable Performance
73,65,68,72,65,67,68,71,71,67,68,66,60,69,77,63,68.16,73,72,67,73,64,68,68,65,73,65,70,67,55,75,78,61,68.38,Low,Low,6,31,Stable Performance
56,55,63,62,59,55,60,52,61,64,54,52,68,57,66,59,58.93,55,56,64,62,57,61,57,52,58,63,51,48,68,61,68,55,58.5,Low,Low,11,34,Stable Performance
67,70,63,68,66,61,70,67,67,62,76,72,73,66,59,78,67.79,69,79,68,73,75,65,73,69,65,75,77,73,84,67,64,86,72.62,Low,Mid,5,64,Significant Increase Performance
47,43,49,53,47,53,52,42,44,52,33,46,40,45,45,45,45.93,49,42,53,52,49,50,49,42,39,51,36,44,41,48,46,47,46.12,Low,Low,11,39,Stable Performance
61,59,76,73,58,72,62,65,64,61,69,65,62,58,60,56,63.71,70,61,82,81,59,81,73,70,72,69,70,77,66,63,66,63,70.19,Low,Mid,6,60,Significant Increase Performance
60,54,59,67,66,60,60,70,63,59,53,62,65,57,62,59,61.11,80,65,82,83,83,73,72,85,68,71,70,70,83,77,62,66,74.38,Low,Mid,6,75,Significant Increase Performance
58,46,57,63,55,59,55,60,57,54,65,63,55,61,61,62,58.28,61,53,69,67,59,66,62,68,56,59,65,67,58,67,67,63,62.94,Low,Low,11,50,Stable Performance
52,65,58,59,74,62,59,49,67,54,55,59,68,64,60,62,60.39,58,66,66,64,85,69,66,56,76,59,64,73,79,71,65,66,67.69,Low,Low,8,51,Stable Performance
47,51,50,55,55,53,48,54,50,45,48,50,55,49,44,50,50.22,49,46,45,53,52,51,43,47,51,47,44,52,58,48,40,51,48.56,Low,Low,8,26,Stable Performance
59,60,64,64,56,56,54,62,66,57,58,66,61,61,53,62,59.99,65,64,61,61,57,56,51,63,67,54,61,66,60,61,49,64,60.0,Low,Low,6,36,Stable Performance
57,56,60,59,61,55,67,67,52,67,58,66,61,62,61,68,61.0,57,63,62,72,66,61,77,72,54,65,72,76,65,64,66,69,66.31,Low,Low,6,28,Stable Performance
61,70,73,71,79,65,72,67,74,67,65,74,65,60,65,70,68.69,78,80,82,78,85,74,81,71,76,73,69,80,67,67,65,74,75.0,Low,Mid,7,61,Significant Increase Performance
64,58,64,51,55,56,57,58,61,55,58,57,53,57,57,57,57.31,73,56,63,54,57,57,58,62,60,56,59,52,53,57,57,54,58.0,Low,Low,10,27,Stable Performance
56,56,54,62,50,52,70,51,49,60,46,55,67,48,46,48,54.39,59,65,59,66,56,60,70,56,46,68,50,65,77,53,48,54,59.5,Low,Low,7,44,Stable Performance
62,63,55,61,64,66,56,46,53,55,56,57,63,64,57,63,58.88,57,60,55,63,64,62,58,48,51,56,56,59,60,67,58,70,59.0,Low,Low,6,32,Stable Performance
66,65,69,65,75,57,62,64,67,71,64,57,69,68,55,65,64.98,68,68,72,70,77,55,64,71,65,75,67,57,68,67,60,62,66.62,Low,Low,7,51,Stable Performance
54,58,57,66,62,55,66,54,63,58,60,64,64,68,61,63,60.91,52,59,55,67,58,54,63,51,62,59,58,64,68,67,56,63,59.75,Low,Low,6,28,Stable Performance
55,58,60,57,48,59,59,54,51,65,60,56,52,53,64,58,56.8,54,58,58,60,46,58,58,56,49,66,60,57,54,54,68,58,57.12,Low,Low,9,41,Stable Performance
60,65,58,70,69,60,59,49,55,56,63,61,56,61,65,65,60.9,63,60,63,76,65,62,57,48,50,57,64,60,60,67,64,61,61.06,Low,Low,9,45,Stable Performance
51,60,54,65,64,56,57,58,49,62,59,65,55,57,53,55,57.58,54,58,56,64,62,60,60,60,49,63,56,67,59,55,56,55,58.38,Low,Low,9,29,Stable Performance
59,70,61,65,63,58,64,68,59,69,61,62,67,62,65,63,63.56,63,69,60,67,65,63,62,69,60,73,60,66,70,65,63,63,64.88,Low,Low,9,35,Stable Performance
57,45,47,60,62,52,55,58,60,46,52,55,60,69,55,49,55.15,63,49,49,63,66,53,57,65,59,49,55,59,62,73,57,53,58.25,Low,Low,7,34,Stable Performance
60,65,59,54,63,62,53,60,63,64,58,57,64,52,61,52,59.22,58,71,60,53,65,66,49,61,61,63,60,51,65,57,60,44,59.0,Low,Low,8,46,Stable Performance
63,57,64,60,52,65,66,62,54,57,59,55,67,59,45,60,58.99,60,55,61,59,54,62,65,66,52,54,57,53,71,67,42,62,58.75,Low,Low,9,52,Stable Performance
51,52,51,57,58,54,51,52,53,49,56,55,60,59,49,57,54.0,46,52,48,56,57,54,54,53,48,50,56,52,58,65,52,56,53.56,Low,Low,10,46,Stable Performance
57,65,59,56,63,48,53,61,62,60,54,57,63,64,61,67,59.39,61,68,61,58,61,53,52,59,61,59,58,57,64,60,56,70,59.88,Low,Low,8,36,Stable Performance
63,58,60,54,61,67,65,68,60,68,60,69,61,65,69,60,62.98,61,59,65,55,60,71,62,66,58,72,53,68,61,68,65,58,62.62,Low,Low,9,27,Stable Performance
61,66,59,53,71,58,61,66,57,55,61,51,59,61,59,52,59.41,75,74,63,66,82,79,73,78,81,67,76,61,73,70,81,59,72.38,Low,Mid,7,68,Significant Increase Performance
67,59,66,58,54,60,58,53,66,56,50,65,56,56,50,68,58.85,65,58,64,59,54,66,56,52,71,50,51,66,56,53,53,65,58.69,Low,Low,10,43,Stable Performance
46,53,57,55,53,44,49,54,49,54,56,58,47,64,57,53,53.08,53,59,53,55,65,46,56,59,58,65,59,61,48,75,60,64,58.5,Low,Low,7,45,Stable Performance
63,70,51,57,46,59,60,58,55,48,60,65,55,60,50,60,57.21,64,71,52,57,47,58,61,55,53,49,65,63,51,59,50,58,57.06,Low,Low,6,29,Stable Performance
56,54,54,56,60,52,56,58,53,67,54,55,53,67,61,54,57.02,59,54,56,57,64,48,59,57,55,69,55,54,47,66,60,51,56.94,Low,Low,9,39,Stable Performance
62,57,57,54,52,58,53,65,50,64,55,57,60,53,60,42,56.27,62,60,52,58,52,57,52,61,51,67,58,57,57,49,56,41,55.62,Low,Low,10,36,Stable Performance
56,55,53,58,61,63,60,56,61,60,64,63,59,55,56,56,58.47,53,53,53,63,57,63,55,54,58,58,66,62,54,53,56,57,57.19,Low,Low,6,28,Stable Performance
60,63,66,62,62,63,59,57,53,59,64,59,61,64,65,57,60.87,59,62,67,63,58,68,57,54,54,61,61,56,62,67,68,56,60.81,Low,Low,8,39,Stable Performance
74,75,64,65,75,69,58,62,68,64,67,70,77,68,75,77,69.27,70,76,63,66,72,69,57,61,65,66,73,70,83,70,72,79,69.5,Low,Low,10,54,Stable Performance
68,62,51,63,66,60,70,65,64,66,63,48,58,67,57,60,61.79,68,65,53,65,62,61,62,70,67,67,63,48,60,69,56,57,62.06,Low,Low,8,31,Stable Performance
56,70,70,57,62,58,64,64,65,63,76,56,53,59,53,54,61.29,57,73,71,53,58,60,66,65,68,62,71,58,51,64,57,54,61.75,Low,Low,6,27,Stable Performance
55,55,55,62,57,59,64,56,58,61,50,48,61,62,70,60,58.35,55,58,55,63,58,63,65,57,57,63,50,51,62,62,69,61,59.31,Low,Low,7,31,Stable Performance
55,49,52,59,40,52,61,52,59,47,50,51,39,45,45,55,50.61,60,54,53,67,44,56,66,52,69,48,56,51,40,54,47,60,54.81,Low,Low,6,37,Stable Performance
64,61,64,59,66,60,60,59,63,58,65,54,54,63,59,58,60.5,66,65,68,55,65,61,57,58,59,63,65,54,53,61,63,55,60.5,Low,Low,11,28,Stable Performance
65,57,59,67,68,68,59,66,56,56,49,69,56,60,56,64,60.86,63,53,53,70,66,70,59,68,57,52,44,64,57,66,54,68,60.25,Low,Low,7,25,Stable Performance
70,66,75,65,68,62,65,73,62,65,72,70,82,81,68,75,70.02,81,64,86,65,76,71,58,74,66,70,82,77,85,91,70,72,74.25,Mid,Mid,4,69,Stable Performance
63,56,52,59,58,57,61,55,53,60,61,53,64,50,56,58,57.23,68,58,57,62,65,57,67,65,59,71,70,56,67,61,58,53,62.12,Low,Low,10,34,Stable Performance
58,59,71,57,74,64,62,64,74,57,56,58,62,53,62,70,62.43,64,64,82,70,78,64,67,69,84,61,59,53,67,56,70,67,67.19,Low,Low,10,27,Stable Performance
61,58,57,64,56,69,69,61,60,65,65,56,57,53,62,63,61.04,64,57,57,64,54,73,68,57,60,62,59,57,52,56,65,67,60.75,Low,Low,10,28,Stable Performance
47,52,47,50,57,50,53,46,55,54,51,53,55,50,47,63,51.89,50,57,52,56,65,58,63,51,58,58,61,51,61,54,50,64,56.81,Low,Low,10,39,Stable Performance
63,65,71,83,59,68,62,63,62,60,66,58,70,66,68,63,65.52,70,72,77,89,70,72,62,61,63,70,71,64,73,71,71,67,70.19,Low,Mid,7,60,Significant Increase Performance
62,65,58,62,59,59,53,70,60,70,69,57,58,77,73,64,63.55,59,60,60,62,55,57,51,69,59,68,68,54,59,74,73,66,62.12,Low,Low,7,33,Stable Performance
65,61,66,60,54,57,64,58,64,59,60,68,65,64,68,66,62.52,73,67,72,70,53,69,63,60,75,70,61,68,63,68,80,77,68.06,Low,Low,7,37,Stable Performance
63,53,53,49,53,60,62,60,46,61,46,60,54,59,49,61,55.63,64,55,53,47,52,56,68,62,46,62,51,64,56,60,48,60,56.5,Low,Low,6,25,Stable Performance
60,64,62,58,67,76,80,67,73,68,70,65,68,70,64,67,67.44,61,66,63,57,64,75,86,64,70,61,69,65,65,66,62,64,66.12,Low,Low,8,49,Stable Performance
53,57,48,53,63,59,60,53,55,58,61,43,46,60,52,50,54.26,56,57,48,50,61,57,59,54,57,52,61,45,45,59,54,49,54.0,Low,Low,11,35,Stable Performance
57,60,56,73,63,63,66,68,68,68,60,61,67,60,63,65,63.58,60,62,56,74,60,61,64,61,68,68,58,62,66,56,63,68,62.94,Low,Low,6,26,Stable Performance
75,62,75,70,74,75,79,78,78,78,72,71,75,75,69,73,73.69,79,55,74,70,75,72,81,73,78,75,72,70,71,73,73,75,72.88,Mid,Mid,5,65,Stable Performance
55,51,61,55,65,47,52,55,61,57,57,49,49,57,48,52,54.53,55,51,64,53,66,42,52,55,58,54,55,44,45,58,50,54,53.5,Low,Low,11,47,Stable Performance
60,52,65,63,49,53,46,53,61,55,59,50,61,54,57,57,55.99,61,47,64,60,51,54,44,51,59,56,58,49,60,60,56,55,55.31,Low,Low,11,29,Stable Performance
54,55,65,62,66,62,61,52,59,60,70,64,68,63,57,61,61.32,59,55,68,70,81,69,70,63,58,65,70,74,73,68,72,70,67.81,Low,Low,10,37,Stable Performance
59,53,56,56,66,47,64,53,51,63,61,64,61,68,60,57,58.59,61,52,55,56,64,52,66,57,51,60,61,73,62,69,59,57,59.69,Low,Low,9,26,Stable Performance
54,58,48,49,51,42,53,43,53,57,50,61,45,58,56,44,51.25,59,58,50,47,55,43,47,45,53,54,47,64,48,56,55,40,51.31,Low,Low,11,44,Stable Performance
74,60,56,53,59,60,61,59,64,58,51,60,49,62,55,61,58.83,80,62,57,55,61,69,69,67,67,60,57,65,58,65,58,69,63.69,Low,Low,8,50,Stable Performance
61,50,60,53,63,53,50,58,53,50,52,54,61,45,55,58,54.84,62,51,62,52,68,49,50,56,51,52,56,54,62,44,55,54,54.88,Low,Low,8,46,Stable Performance
63,69,62,61,65,63,60,65,59,59,60,69,46,64,63,54,61.48,60,69,60,59,62,63,63,66,56,62,55,68,50,61,59,55,60.5,Low,Low,10,31,Stable Performance
57,58,58,42,62,52,59,59,51,59,53,45,61,52,51,53,54.54,59,53,53,42,60,50,57,65,53,62,59,43,66,47,55,52,54.75,Low,Low,11,41,Stable Performance
69,67,70,61,64,67,77,67,73,68,65,67,67,71,75,70,68.66,79,77,86,76,77,78,94,78,85,83,71,79,82,80,95,81,81.31,Low,Mid,5,68,Significant Increase Performance
62,51,54,52,58,54,60,51,56,60,46,67,55,46,57,56,55.3,66,54,58,54,61,59,68,49,63,65,51,63,64,53,62,59,59.31,Low,Low,10,49,Stable Performance
58,63,62,60,61,58,67,51,59,59,62,54,50,59,60,66,59.31,64,67,63,65,72,65,72,48,63,68,66,60,61,64,61,66,64.06,Low,Low,9,25,Stable Performance
58,70,76,62,58,62,64,67,61,72,58,55,70,53,63,80,64.26,67,75,79,61,61,67,68,79,69,82,65,60,76,57,68,92,70.38,Low,Mid,7,67,Significant Increase Performance
54,48,54,54,55,57,49,62,55,57,51,60,53,55,49,49,53.83,53,48,52,53,58,65,55,73,62,54,57,72,53,61,52,53,57.56,Low,Low,10,26,Stable Performance
65,59,57,58,65,58,61,61,52,54,63,57,66,66,65,70,60.98,64,62,61,58,64,63,60,58,59,60,69,62,73,68,67,84,64.5,Low,Low,8,50,Stable Performance
66,70,64,79,76,67,68,73,66,63,71,67,67,62,58,68,67.85,83,87,82,89,79,77,79,89,78,73,76,77,75,72,61,88,79.06,Low,Mid,7,74,Significant Increase Performance
56,51,59,48,47,52,52,56,48,59,62,52,58,47,57,57,53.78,67,65,69,70,59,74,71,79,60,72,74,61,64,55,72,73,67.81,Low,Low,7,34,Stable Performance
65,61,46,58,58,56,62,59,57,56,57,67,58,58,59,63,58.6,65,61,45,59,58,58,67,60,59,58,60,72,56,59,56,63,59.75,Low,Low,8,30,Stable Performance
64,46,66,68,56,56,59,58,62,52,56,69,57,68,63,52,59.49,58,52,66,65,54,57,59,57,64,51,51,71,55,67,61,52,58.75,Low,Low,11,46,Stable Performance
67,63,62,65,66,67,70,66,57,62,79,68,76,71,65,65,66.78,73,76,76,70,68,71,69,71,64,69,84,79,75,77,75,75,73.25,Low,Mid,5,61,Significant Increase Performance
